X;Y;ref;emergency;emergency_telephone_code;operator;name
49,54488128;18,78578783;"	FM035";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,53514933;18,73692706;"	FM056";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,61842931;18,78715547;"	FM044";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,51883669;18,64800222;"	FM037";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,55112428;18,68703528;"	FM048";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,52117539;18,83183836;"	FM041";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,82206031;17,58019086;"	OP007";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,88332639;17,74558278;"	OP029";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,87176842;17,69639867;"	OP028";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,8715535;17,75988203;"	OP030";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,99665717;17,71470139;"	OP032";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,95410364;17,71258536;"	OP033";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,93756269;17,75177886;"	OP034";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,50443917;18,69096094;"	FM058";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,76361681;17,68379558;"	OP005";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,79754833;17,70219086;"	OP010";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,77764119;17,54242978;"	OP006";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,737554;17,85766594;"	NJ003";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,54376064;18,49475286;"	FM019";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,51409953;18,02025044;"	NJ016";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,60359614;17,86488233;"	NJ005";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,52008311;18,09513981;"	NJ018";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,84533189;17,69484089;"	OP011";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,65449078;18,16844064;"	NJ011";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,73680556;17,69977778;"	OP009";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,72391097;17,70121289;"	NJ007";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,56091494;18,00234842;"	NJ006";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,84224561;17,59653253;"	OP008";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,89760503;18,27878214;"	OP039";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,58336869;18,09115208;"	NJ014";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,52671731;18,07233339;"	NJ017";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,67974292;18,14857722;"	NJ010";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,60316386;18,57364858;"	FM012";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,60277633;18,60037422;"	FM028";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,57144339;18,43055969;"	FM005";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,56711111;18,43825;"	FM006";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,82747353;17,73185194;"	OP012";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,79886283;17,80556339;"	OP003";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,92566947;18,15740672;"	OP016";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,70824783;17,78220517;"	NJ004";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,85063344;17,40838872;"	BR050";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,87310289;17,59855989;"	BR049";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,98280481;17,39231236;"	BR038";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,93454817;17,58619456;"	BR041";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,94709069;17,50999278;"	BR045";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,08786444;17,45271128;"	BR036";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,96966042;17,56777478;"	BR040";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,89420539;17,47352653;"	BR047";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,05919917;17,6061605;"	BR043";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,01553075;17,52326022;"	BR044";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,98573386;17,64072156;"	OP001";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,87378128;17,47631306;"	BR048";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,97432283;17,55168864;"	BR039";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,90469886;17,43475733;"	BR046";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,04446839;17,50594178;"	BR042";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,83330167;17,81369956;"	OP020";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,54306044;18,67548325;"	FM036";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,72000358;17,72936567;"	NJ002";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,57007769;18,134765;"	NJ015";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,58035181;18,08219431;"	NJ013";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,56924714;18,08200264;"	NJ012";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,18724061;17,637414;"	BR019";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,21168858;17,65081375;"	BR017";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,81957472;18,06390847;"	OV001";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,208026;17,47175461;"	BR002";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,26509578;17,47299947;"	BR009";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,19197797;17,53138181;"	BR004";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,08638881;17,50386581;"	BR029";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,21300433;17,50269225;"	BR012";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,10329067;17,60512608;"	BR025";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,75179683;18,39165497;"	OV006";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,74411283;18,35453811;"	OV005";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,94958033;17,64426342;"	BR082";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
